event_time,hostname,parser,message,source,file_name,prefetch_ctime,prefetch_mtime,prefetch_size,prefetch_hash,prefetch_version,prefetch_file,prefetch_count
2025-10-19T21:46:26Z,CLIENT2.onid-secure.local,Prefetch,Evidence of Execution: MSEDGE.EXE Prefetch run count 5,C:\Windows\Prefetch\MSEDGE.EXE-F6B373AF.pf,MSEDGE.EXE,2025-10-19T21:46:34.1712728Z,2026-02-28T15:11:35.5010183Z,882160,0XF6B373AF,Win11 (31),MSEDGE.EXE-F6B373AF.pf,5
2025-10-19T21:46:33.4239595Z,CLIENT2.onid-secure.local,Prefetch,Evidence of Execution (Btime): MICROSOFTEDGEUPDATE.EXE Prefetch run count 2004,C:\Windows\Prefetch\MICROSOFTEDGEUPDATE.EXE-30812F03.pf,MICROSOFTEDGEUPDATE.EXE,2025-10-19T21:46:33.4239595Z,2026-03-12T08:16:16.2985401Z,28602,0X30812F03,Win11 (31),MICROSOFTEDGEUPDATE.EXE-30812F03.pf,2004
2025-10-19T21:46:34.030874Z,CLIENT2.onid-secure.local,Prefetch,Evidence of Execution (Btime): SVCHOST.EXE Prefetch run count 18,C:\Windows\Prefetch\SVCHOST.EXE-67D34FC2.pf,SVCHOST.EXE,2025-10-19T21:46:34.030874Z,2026-03-11T20:18:02.309042Z,96400,0X67D34FC2,Win11 (31),SVCHOST.EXE-67D34FC2.pf,18
2025-10-19T21:46:34.1160514Z,CLIENT2.onid-secure.local,Prefetch,Evidence of Execution (Btime): SMARTSCREEN.EXE Prefetch run count 43,C:\Windows\Prefetch\SMARTSCREEN.EXE-3A39E32D.pf,SMARTSCREEN.EXE,2025-10-19T21:46:34.1160514Z,2026-03-11T23:21:52.9972616Z,34666,0X3A39E32D,Win11 (31),SMARTSCREEN.EXE-3A39E32D.pf,43
2025-10-19T21:46:34.1712728Z,CLIENT2.onid-secure.local,Prefetch,Evidence of Execution (Btime): MSEDGE.EXE Prefetch run count 5,C:\Windows\Prefetch\MSEDGE.EXE-F6B373AF.pf,MSEDGE.EXE,2025-10-19T21:46:34.1712728Z,2026-02-28T15:11:35.5010183Z,882160,0XF6B373AF,Win11 (31),MSEDGE.EXE-F6B373AF.pf,5
2025-10-19T21:46:34.2365299Z,CLIENT2.onid-secure.local,Prefetch,Evidence of Execution (Btime): BACKGROUNDTASKHOST.EXE Prefetch run count 2701,C:\Windows\Prefetch\BACKGROUNDTASKHOST.EXE-27DD6AFB.pf,BACKGROUNDTASKHOST.EXE,2025-10-19T21:46:34.2365299Z,2026-03-12T08:28:59.5680752Z,61922,0X27DD6AFB,Win11 (31),BACKGROUNDTASKHOST.EXE-27DD6AFB.pf,2701
2025-10-19T21:46:34.2741735Z,CLIENT2.onid-secure.local,Prefetch,Evidence of Execution (Btime): RUNDLL32.EXE Prefetch run count 20,C:\Windows\Prefetch\RUNDLL32.EXE-9DE38001.pf,RUNDLL32.EXE,2025-10-19T21:46:34.2741735Z,2026-03-11T19:41:10.8384756Z,36346,0X9DE38001,Win11 (31),RUNDLL32.EXE-9DE38001.pf,20
2025-10-19T21:46:47Z,CLIENT2.onid-secure.local,Prefetch,Evidence of Execution: DLLHOST.EXE Prefetch run count 7,C:\Windows\Prefetch\DLLHOST.EXE-08D3C038.pf,DLLHOST.EXE,2025-10-19T21:47:41.9020311Z,2026-01-09T09:51:57.4796611Z,22980,0X8D3C038,Win11 (31),DLLHOST.EXE-08D3C038.pf,7
2025-10-19T21:47:22Z,CLIENT2.onid-secure.local,Prefetch,Evidence of Execution: MSEDGE.EXE Prefetch run count 7,C:\Windows\Prefetch\MSEDGE.EXE-F6B373B3.pf,MSEDGE.EXE,2025-10-19T21:47:42.3129303Z,2026-02-28T15:11:35.505035Z,30570,0XF6B373B3,Win11 (31),MSEDGE.EXE-F6B373B3.pf,7
2025-10-19T21:47:23Z,CLIENT2.onid-secure.local,Prefetch,Evidence of Execution: MSEDGE.EXE Prefetch run count 3,C:\Windows\Prefetch\MSEDGE.EXE-F6B373B2.pf,MSEDGE.EXE,2025-10-19T21:47:42.4057378Z,2025-11-07T13:50:49.4909506Z,68186,0XF6B373B2,Win11 (31),MSEDGE.EXE-F6B373B2.pf,3
2025-10-19T21:47:23Z,CLIENT2.onid-secure.local,Prefetch,Evidence of Execution: MSEDGE.EXE Prefetch run count 6,C:\Windows\Prefetch\MSEDGE.EXE-F6B373B1.pf,MSEDGE.EXE,2025-10-19T21:47:42.5974921Z,2026-02-28T15:11:32.3855735Z,254664,0XF6B373B1,Win11 (31),MSEDGE.EXE-F6B373B1.pf,6
2025-10-19T21:47:41.9020311Z,CLIENT2.onid-secure.local,Prefetch,Evidence of Execution (Btime): DLLHOST.EXE Prefetch run count 7,C:\Windows\Prefetch\DLLHOST.EXE-08D3C038.pf,DLLHOST.EXE,2025-10-19T21:47:41.9020311Z,2026-01-09T09:51:57.4796611Z,22980,0X8D3C038,Win11 (31),DLLHOST.EXE-08D3C038.pf,7
2025-10-19T21:47:41.9276062Z,CLIENT2.onid-secure.local,Prefetch,Evidence of Execution (Btime): CONHOST.EXE Prefetch run count 1745,C:\Windows\Prefetch\CONHOST.EXE-F98A1078.pf,CONHOST.EXE,2025-10-19T21:47:41.9276062Z,2026-03-12T08:23:07.7429907Z,24304,0XF98A1078,Win11 (31),CONHOST.EXE-F98A1078.pf,1745
2025-10-19T21:47:41.9296154Z,CLIENT2.onid-secure.local,Prefetch,Evidence of Execution (Btime): MPCMDRUN.EXE Prefetch run count 64,C:\Windows\Prefetch\MPCMDRUN.EXE-6732C054.pf,MPCMDRUN.EXE,2025-10-19T21:47:41.9296154Z,2025-11-07T14:20:26.2120367Z,55768,0X6732C054,Win11 (31),MPCMDRUN.EXE-6732C054.pf,64
2025-10-19T21:47:42.1646386Z,CLIENT2.onid-secure.local,Prefetch,Evidence of Execution (Btime): DLLHOST.EXE Prefetch run count 242,C:\Windows\Prefetch\DLLHOST.EXE-6A829A47.pf,DLLHOST.EXE,2025-10-19T21:47:42.1646386Z,2026-03-12T08:28:50.84733Z,38046,0X6A829A47,Win11 (31),DLLHOST.EXE-6A829A47.pf,242
2025-10-19T21:47:42.2614797Z,CLIENT2.onid-secure.local,Prefetch,Evidence of Execution (Btime): MSEDGE.EXE Prefetch run count 13,C:\Windows\Prefetch\MSEDGE.EXE-F6B373B7.pf,MSEDGE.EXE,2025-10-19T21:47:42.2614797Z,2025-11-07T14:03:05.2300601Z,48958,0XF6B373B7,Win11 (31),MSEDGE.EXE-F6B373B7.pf,13
2025-10-19T21:47:42.3129303Z,CLIENT2.onid-secure.local,Prefetch,Evidence of Execution (Btime): MSEDGE.EXE Prefetch run count 7,C:\Windows\Prefetch\MSEDGE.EXE-F6B373B3.pf,MSEDGE.EXE,2025-10-19T21:47:42.3129303Z,2026-02-28T15:11:35.505035Z,30570,0XF6B373B3,Win11 (31),MSEDGE.EXE-F6B373B3.pf,7
